area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
63.38,3,7,10,,51.7563847,19.52693116,5.7,20,0.112,0.436,0.203,0.079,0.316,1.817,0.36,1,1,1,1,1,419500,2023,8
34,1,3,4,1962,51.7480594,19.48523109,4.27,9,0.222,0.435,0.623,0.175,0.262,1.908,0.084,1,1,1,1,1,275000,2023,8
53,3,3,4,,51.74471112,19.38296118,6.42,12,0.463,0.976,0.501,0.408,0.301,4.844,0.247,1,1,1,1,1,430000,2023,8
36,2,2,2,,51.73146299,19.49683187,6.27,20,0.182,1.467,0.576,0.134,0.234,1.976,0.037,1,1,1,1,1,292000,2023,8
60,2,,4,2012,51.81560695,19.44437539,3.86,5,0.516,0.473,0.576,0.444,0.635,3.393,0.365,1,1,1,1,0,499999,2023,8
39.5,2,1,1,,51.74730504,19.47283485,4,5,0.133,0.163,0.971,0.511,0.614,1.062,0.324,1,1,1,1,1,220000,2023,8
68,3,,4,,51.80731359,19.32266684,9.53,3,0.255,1.99,0.13,0.232,0.514,,0.539,1,1,1,1,0,460000,2023,8
48,3,2,4,1970,51.7426,19.4963,5.19,16,0.087,1.368,0.568,0.186,0.272,2.392,0.142,1,1,1,1,1,320000,2023,8
51,2,,4,2021,51.74819,19.46742,3.81,9,0.236,0.457,0.803,0.128,0.231,0.682,0.51,1,1,1,1,0,603000,2023,8
72,3,5,7,,51.7886,19.46508,1.06,18,0.168,0.726,0.022,0.086,0.422,0.893,0.045,1,1,1,1,0,506000,2023,8
113,4,5,5,,51.7664,19.4662,1.85,14,0.347,0.705,0.047,0.337,0.083,0.25,0.577,1,1,1,1,1,695000,2023,8
52.64,2,,6,2022,51.74863,19.46969,3.8,7,0.246,0.299,0.928,0.288,0.388,0.838,0.454,1,1,1,1,0,640000,2023,8
75.63,3,3,6,2011,51.765,19.439,2.13,7,0.298,0.496,0.496,0.275,0.372,1.947,0.208,1,1,1,1,0,750000,2023,8
70.4,4,4,10,,51.7457489,19.4374833,4.15,3,0.735,1.05,0.993,0.775,0.458,1.117,0.575,1,1,1,1,1,585000,2023,8
32.1,1,4,4,1960,51.7837101,19.429617,1.75,12,0.188,0.654,0.502,0.135,0.696,0.778,0.298,1,1,1,1,0,255000,2023,8
